,precision,recall,f1-score,support,color
accuracy,0.9708630245447347,0.9708630245447347,0.9708630245447347,0.9708630245447347,rgb
macro avg,0.9670721901709838,0.9602578245912421,0.9627023465600542,12630.0,rgb
weighted avg,0.9717784572570218,0.9708630245447347,0.9708667584323143,12630.0,rgb
accuracy,0.9732383214568487,0.9732383214568487,0.9732383214568487,0.9732383214568487,gray
macro avg,0.968904918231145,0.9568533858756304,0.9616044731224769,12630.0,gray
weighted avg,0.973571855490161,0.9732383214568487,0.972842560648899,12630.0,gray
accuracy,0.9686460807600951,0.9686460807600951,0.9686460807600951,0.9686460807600951,hsv
macro avg,0.9638689383093901,0.9529058909296523,0.9572894077156477,12630.0,hsv
weighted avg,0.9692348664575989,0.9686460807600951,0.9683937653652791,12630.0,hsv
accuracy,0.9665083135391924,0.9665083135391924,0.9665083135391924,0.9665083135391924,yuv
macro avg,0.962772679072139,0.9542868492590433,0.9569539438460988,12630.0,yuv
weighted avg,0.9679884899567395,0.9665083135391924,0.9663868708117499,12630.0,yuv
accuracy,0.9676167854315123,0.9676167854315123,0.9676167854315123,0.9676167854315123,yiq
macro avg,0.9569260734413733,0.950631852596716,0.9516906515189255,12630.0,yiq
weighted avg,0.9689191260260146,0.9676167854315123,0.9672110858904407,12630.0,yiq
